"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.638476533E1,-8.674461365E-1,8.281079407E0,-2.840493164E0
2.639481533E1,-8.550219727E-1,8.154891815E0,-3.089724884E0
2.640486633E1,-7.740403748E-1,7.995772705E0,-3.347189484E0
2.641491633E1,-7.424560547E-1,7.786058807E0,-3.703598328E0
2.642496733E1,-8.530760193E-1,7.549850006E0,-4.057163086E0
2.643501733E1,-9.861492920E-1,7.390281830E0,-4.317022705E0
2.644506833E1,-1.083446960E0,7.315736847E0,-4.393962708E0
2.645511812E1,-9.957293701E-1,7.231911163E0,-4.364923096E0
2.646516913E1,-7.726931763E-1,7.089856567E0,-4.153862000E0
2.647521912E1,-5.830375671E-1,6.786886597E0,-3.877087555E0
2.648527012E1,-4.837939453E-1,6.489006042E0,-3.674558716E0
2.649532012E1,-4.897814941E-1,6.358477478E0,-3.544628906E0
2.650537112E1,-5.792953491E-1,6.428232422E0,-3.504662018E0
2.651542112E1,-6.535409546E-1,6.697672119E0,-3.350332947E0
2.652547212E1,-6.712042236E-1,7.303462372E0,-3.293600922E0
2.653552212E1,-5.400769043E-1,8.169561310E0,-3.334615631E0
2.654557312E1,-2.032772827E-1,8.689579926E0,-3.198698273E0
2.655562412E1,-3.288661194E-1,8.965905304E0,-2.943329315E0
2.656567412E1,-7.792794800E-1,9.640103302E0,-2.470013580E0
2.657572512E1,-9.018745422E-1,1.066442322E1,-1.631906433E0
2.658577512E1,-8.098159790E-1,1.211101501E1,-8.307723999E-1
2.659582613E1,-8.279283142E-1,1.364113312E1,-7.831713867E-1
2.660587612E1,-9.386979675E-1,1.468281693E1,-1.215023346E0
2.661592712E1,-1.432371368E0,1.470571930E1,-1.760938110E0
2.662597712E1,-1.872605896E0,1.320209610E1,-2.433938599E0
2.663602812E1,-1.651815033E0,1.077459412E1,-2.550546112E0
2.664607812E1,-1.228195953E0,8.691974945E0,-1.834285583E0
2.665612912E1,-7.047344971E-1,7.347021790E0,-7.753875732E-1
2.666617912E1,-2.679428101E-1,6.704857178E0,4.131408691E-2
2.667623012E1,-4.813989258E-1,6.644233246E0,5.165757751E-1
2.668628012E1,-1.557211761E0,6.945257263E0,6.956034851E-1
2.669633112E1,-3.047213287E0,7.640411682E0,4.475692749E-1
2.670638112E1,-4.397405548E0,8.951086121E0,1.288819885E-1
2.671643212E1,-5.028193817E0,1.042327469E1,-1.703457642E-1
2.672648212E1,-5.034929810E0,1.154159912E1,-5.234614563E-1
2.673653312E1,-4.183350677E0,1.165581161E1,-1.090033264E0
2.674658312E1,-2.916235657E0,1.103580093E1,-1.807491302E0
2.675663412E1,-1.882635040E0,1.037297928E1,-2.223326569E0
2.676668412E1,-1.149908752E0,9.648036804E0,-1.947300568E0
2.677673512E1,-9.045689392E-1,9.118438110E0,-1.410217438E0
2.678678512E1,-1.098565521E0,8.819210358E0,-1.124761047E0
2.679683612E1,-1.633852386E0,8.810378723E0,-9.144483948E-1
2.680688613E1,-2.274819489E0,9.168733521E0,-7.911048889E-1
2.681693712E1,-2.955454102E0,9.554631042E0,-6.680607605E-1
2.682698712E1,-3.436553650E0,9.693691864E0,-5.769003296E-1
2.683703812E1,-3.556154938E0,9.583970032E0,-6.017486572E-1
2.684708812E1,-3.500321045E0,9.189540253E0,-6.933581543E-1
2.685713913E1,-3.285517731E0,8.672365723E0,-8.436456299E-1
2.686718912E1,-3.059338074E0,8.214916992E0,-9.136999512E-1
2.687724012E1,-2.839295654E0,7.967032471E0,-9.797126770E-1
2.688729012E1,-2.420466614E0,7.920329590E0,-1.126407623E0
2.689734112E1,-1.935774536E0,8.183332672E0,-1.269510040E0
2.690739112E1,-1.760039978E0,8.525820465E0,-1.781295776E0
2.691744212E1,-1.792971497E0,8.852441254E0,-2.464774475E0
2.692749212E1,-2.004631348E0,8.950936432E0,-3.118016052E0
2.693754313E1,-2.420316925E0,9.038504333E0,-3.549718323E0
2.694759312E1,-2.709365845E0,9.088350677E0,-3.483256531E0
2.695764412E1,-2.473157043E0,9.019942932E0,-2.917732544E0
2.696769412E1,-1.940564575E0,8.987161102E0,-2.324965210E0
2.697774512E1,-1.751058655E0,9.350755005E0,-2.027683411E0
2.698779512E1,-1.831591187E0,9.801916809E0,-1.838177490E0
2.699784612E1,-2.288441162E0,9.983788605E0,-1.745669861E0
2.700789612E1,-2.769540710E0,9.388326874E0,-1.335522766E0
2.701794712E1,-3.185974731E0,8.668473816E0,-5.284011841E-1
2.702799712E1,-3.571872253E0,8.364905090E0,1.426533508E-1
2.703804812E1,-3.849844208E0,8.956325226E0,1.821711731E-1
2.704809812E1,-4.079766083E0,1.063508423E1,-4.261637878E-1
2.705814912E1,-4.061204681E0,1.281589920E1,-1.303639069E0
2.706819913E1,-3.584446106E0,1.457773544E1,-2.141746216E0
2.707825012E1,-3.048261108E0,1.523127640E1,-2.120939484E0
2.708830012E1,-2.738854523E0,1.389934616E1,-1.641486511E0
2.709835112E1,-2.669997711E0,1.139789795E1,-1.481319580E0
2.710840112E1,-2.607278137E0,1.018452118E1,-1.391206970E0
2.711845212E1,-2.892135773E0,1.052581146E1,-1.054257660E0
2.712850312E1,-3.265459442E0,1.099298996E1,-4.026626587E-1
2.713855312E1,-3.448528748E0,1.132604736E1,4.004173279E-1
2.714860412E1,-3.375929718E0,1.159413986E1,1.006806335E0
2.715865412E1,-3.027903442E0,1.175804901E1,1.155147858E0
2.716870512E1,-2.473456421E0,1.188573349E1,1.122964783E0
2.717875512E1,-1.651066589E0,1.177571228E1,8.777746582E-1
2.718880612E1,-6.015989685E-1,1.095047836E1,4.212240601E-1
